Chemical_formula	found_on_web
Sr(Ti0.95Re0.05)O3	0
Sr(Th0.45Ti0.55)O3	0
Ce(Mn0.65Cu0.35)O3	0
Eu(Th0.1Fe0.9)O3	0
(Sm0.3Gd0.7)CoO3	0
(Ce0.05Gd0.95)AlO3	0
Sr(Th0.2Zr0.8)O3	0
Sr(Th0.1Zr0.9)O3	0
(Pr0.3Nd0.7)AlO3	0
Ce(Zn0.35Cr0.65)O3	0
Sr(Th0.35Ti0.65)O3	0
(Pr0.05Sm0.95)AlO3	0
Ce(Cr0.65Co0.35)O3	0
(Pr0.3Sm0.7)AlO3	0
Eu(Hf0.45Fe0.55)O3	0
(La0.3Eu0.7)GaO3	0
La(Mn0.25Ir0.75)O3	0
Eu(Fe0.45Pb0.55)O3	0
(Sm0.05Gd0.95)CoO3	0
Sr(Ti0.9Re0.1)O3	0
(Nd0.05Sm0.95)CoO3	0
Eu(Fe0.35Ir0.65)O3	0
Ba(Th0.9Ti0.1)O3	0
Eu(Hf0.4Fe0.6)O3	0
Eu(Zr0.05Mn0.95)O3	0
Sr(Tm0.5Pa0.5)O3	0
Sr(Hf0.7Mn0.3)O3	0
Sm(Cr0.65Co0.35)O3	0
Ce(Mn0.35Ru0.65)O3	0
Sm(Mn0.95Zn0.05)O3	0
(Sr0.45Yb0.55)MnO3	0
Eu(Fe0.45Ir0.55)O3	0
La(Al0.2Cr0.8)O3	0
La(Zn0.45Cr0.55)O3	0
Eu(Cr0.2Fe0.8)O3	0
Eu(Fe0.4Ir0.6)O3	0
Eu(Co0.6W0.4)O3	0
Sr(Mn0.15Re0.85)O3	0
Eu(Co0.65W0.35)O3	0
(Ce0.05Nd0.95)GaO3	0
Ce(Mn0.45Ru0.55)O3	0
Sr(Er0.5Pa0.5)O3	0
Eu(Zr0.4Fe0.6)O3	0
Sr(Lu0.5Pa0.5)O3	0
Sr(Ti0.05Pb0.95)O3	0
Eu(Th0.05Fe0.95)O3	0
La(Mn0.45Ir0.55)O3	0
Sr(Hf0.05Ti0.95)O3	0
Sr(Mn0.1Re0.9)O3	0
Eu(Co0.7W0.3)O3	0
Eu(Hf0.1Mn0.9)O3	0
Eu(Fe0.95Ir0.05)O3	0
Eu(Zr0.35Fe0.65)O3	0
Sr(Th0.4Zr0.6)O3	0
Ce(Mn0.95Co0.05)O3	0
Sr(Mn0.3Tc0.7)O3	0
Eu(Fe0.5Ir0.5)O3	0
Eu(Li0.15Cr0.85)O3	0
Eu(Zr0.45Fe0.55)O3	0
(Ce0.3Nd0.7)GaO3	0
Eu(Cr0.55Cd0.45)O3	0
Eu(Co0.75W0.25)O3	0
Eu(Fe0.6Ir0.4)O3	0
(Nd0.05Eu0.95)CoO3	0
Eu(Fe0.65Ir0.35)O3	0
Pr(Mn0.95Cu0.05)O3	0
Eu(Fe0.7W0.3)O3	0
Eu(Hf0.35Fe0.65)O3	0
Sr(Zr0.2Pb0.8)O3	0
Eu(Fe0.9Ir0.1)O3	0
Sr(Hf0.15Ti0.85)O3	0
Eu(Fe0.75W0.25)O3	0
Nd(Cr0.55Cu0.45)O3	0
Eu(Fe0.7Ir0.3)O3	0
Sr(Zr0.1Ru0.9)O3	0
Eu(Fe0.75Ir0.25)O3	0
Eu(Fe0.6Mo0.4)O3	0
Eu(Hf0.3Fe0.7)O3	0
